	Feb10-r1-a_SPA	Feb10-r2-a_SPA	Feb10-r3-a_SPA	Feb10-r4-a_SPA	Feb10-r5-a_SPA	Feb10-r6-a_SPA	Feb10-r7-a_SPA	Feb7-1_SPA	Feb7-12_SPA	Feb7-15_SPA	Feb7-20_SPA	Feb7-3_SPA	Feb7-6_SPA	Feb7-9_SPA	Feb8-12_SPA	Feb8-15_SPA	Feb8-19_SPA	Feb8-2_SPA	Feb8-23_SPA	Feb8-27_SPA	Feb8-32_SPA	Feb8-33_SPA	Feb8-35_SPA	Feb8-37_SPA	Feb8-39_SPA	Feb8-41_SPA	Feb8-43_SPA	Feb8-45_SPA	Feb8-47_SPA	Feb8-49_SPA	Feb8-5_SPA	Feb8-51_SPA	Feb8-53_SPA	Feb8-55_SPA	Feb8-61_SPA	Feb8-65_SPA	Feb8-7_SPA	Feb8-9_SPA	Feb9-1-a_SPA	Feb9-1-b_SPA	Feb9-2-a_SPA	Feb9-2-b_SPA	Feb9-3-a_SPA	Feb9-3-b_SPA	Feb9-4-11_SPA	Feb9-4-14_SPA	Feb9-4-17_SPA	Feb9-4-2_SPA	Feb9-4-20_SPA	Feb9-4-22_SPA	Feb9-4-24_SPA	Feb9-4-26_SPA	Feb9-4-28_SPA	Feb9-4-30-a_SPA	Feb9-4-4_SPA	Feb9-4-6_SPA	Feb9-4-8_SPA	Feb9-4-a_SPA	Feb9-4-b_SPA	Feb9-5-a_SPA	Feb9-5-b_SPA	Feb9-6-a_SPA	Feb9-6-b_SPA	Feb9-7-a_SPA	Feb9-7-b_SPA	Feb9-8-a_SPA	Feb9-8-b_SPA	SG1-E-mid_SPA
Feb10-r1-a_SPA	0.0	0.4374370756044362	0.34211184541213047	0.28448582340044054	0.4107907482442366	0.3885836880689745	0.3553273211234974	0.4246978500344962	0.46698490625642913	0.44037701513771405	0.31744389380662585	0.4227517340254778	0.47888182949212293	0.34614412399725997	0.3613800714018742	0.4442838420460914	0.48525532644443975	0.484126445207434	0.34057934524843064	0.4088404369721554	0.49405368622086326	0.4871293050179898	0.5236739208025496	0.4489473009612104	0.44523594056489313	0.3924581093154532	0.42626246397125594	0.39192543017863984	0.3405849677793847	0.37209035765280385	0.5124235819773003	0.5568742759977727	0.4887387668287852	0.4697961145464494	0.5234668319919984	0.38355158109118437	0.384770210492384	0.4371131330447145	0.36426029892436407	0.5232718702194461	0.4302288952322773	0.6168871645121575	0.6291435046687589	0.4979230283843353	0.5374865475800463	0.5392617492116032	0.559754348156934	0.5704930252959288	0.5361037966465401	0.5070535381976616	0.5849965090917051	0.6360639671681979	0.57568841735235	0.5877761910511791	0.4298826211049664	0.6256806518853577	0.5796251365795712	0.5288830091413366	0.5472682839788414	0.44788041618110336	0.587113861123544	0.4661132727260785	0.4205535029784673	0.6023143288674074	0.5511735184544184	0.36443286285140697	0.4474315820904492	0.47083978549490596
Feb10-r2-a_SPA	0.4374370756044362	0.0	0.3635619950750014	0.38798154030574555	0.43194951022731015	0.3855694828292703	0.4290966707861665	0.4887352668697669	0.3154957065604737	0.34618886645126834	0.31844571694634666	0.4390703501721539	0.4809364804438062	0.3335872918723953	0.3672151866347899	0.28896759949323775	0.41807004879227655	0.28381794966781526	0.2651481384931727	0.23645390176841108	0.31463236822912893	0.29135447178417934	0.36777639699775666	0.44067576526278185	0.4909022662851983	0.4087223003926571	0.43804761523150904	0.41658819601574937	0.39396322457647837	0.3938974620366426	0.4745579214845064	0.44517150560945556	0.42274894375270505	0.41660015642640963	0.36406425461236436	0.44196927781985745	0.35775330901797253	0.5185143745614739	0.40749435098772635	0.43029064004385925	0.4870012200849098	0.5868158334239904	0.5880106362807531	0.4246742810979701	0.4659429546266254	0.49281475621550136	0.5090283487085591	0.5392466369768971	0.6127239978916065	0.5599652878164578	0.5290251626443109	0.5791197891308875	0.5607097103701946	0.5853577144726988	0.35434868582093904	0.5921082437141377	0.536952173942912	0.5410346144125645	0.4582753201671926	0.40986320935575193	0.5832916364057319	0.37394152087363636	0.324334272741072	0.583220719556443	0.5453586878266695	0.37839899262015303	0.4083984107279453	0.36272878286433574
Feb10-r3-a_SPA	0.34211184541213047	0.3635619950750014	0.0	0.2448896073008742	0.43315406676978285	0.3585580053903959	0.42777094248963027	0.4142739110501744	0.37153791526014707	0.3758580025603891	0.26456072378480006	0.36100796046861844	0.4546992658219581	0.2770383714088745	0.3486924317264921	0.3677729907507063	0.4101988030430799	0.3759325370139816	0.2839205745095756	0.34633193483747243	0.38995809596854364	0.34344224095445464	0.4122405504164817	0.4202060301056042	0.4039288631476889	0.34068862081042334	0.4184106335164215	0.3591303135610635	0.2687441601605285	0.3550575552502945	0.5189724088287416	0.524376084039421	0.4511412937216134	0.44899446850162317	0.482860168078527	0.4385304263157853	0.29982489817633867	0.4424463416338949	0.37302138462478635	0.461057471129051	0.4175092475899101	0.6122840296994666	0.6047467709987078	0.4877153299331661	0.5181335085861529	0.47559577707804884	0.5185107926258298	0.5324906612935609	0.5001244178990428	0.4661157814734599	0.5405234397471301	0.566465628612781	0.5751402033934914	0.5752022489930966	0.4054003111070591	0.6151685293612514	0.5390348563415883	0.528021580210043	0.4781835795982357	0.41181063979201404	0.5902365252281916	0.41831008387539353	0.41923342902834193	0.6053352812375854	0.5337783034714368	0.35261166651053305	0.3884184589968713	0.45596097074693037
Feb10-r4-a_SPA	0.28448582340044054	0.38798154030574555	0.2448896073008742	0.0	0.3981990131307389	0.33460838026235284	0.40104121054171205	0.4321398592153354	0.4176349787018045	0.38144014535204374	0.2657110876991662	0.3764679384358662	0.4726470249004529	0.30986904376010965	0.3882766487029985	0.365072699995976	0.4495491242829589	0.45698286636065244	0.3038816234970894	0.3821092716177391	0.43316380869649596	0.43140823023499153	0.48283433534715353	0.43682345546538487	0.3996585222934522	0.3425644772794579	0.42391738184938776	0.32859234636539364	0.2847769886042727	0.33891063174392855	0.4960135068967814	0.4910273176004797	0.39499712285362554	0.4272103384673825	0.4623762041189552	0.4354404736231984	0.3675798193547863	0.48519167787696527	0.30578776665624163	0.4666453745959387	0.37899959182877946	0.5635386577297723	0.6016599805631386	0.44903988121461	0.4956212646652107	0.45904081649276796	0.4900960224007499	0.4967488628665484	0.4525927947195761	0.43505198449127824	0.5184003311089623	0.5554632418675098	0.5329728708076442	0.5604764704509595	0.3515047704669566	0.5982812828864367	0.5095419939621803	0.47193349524669154	0.5052396679708515	0.3965855139014685	0.5516686820405878	0.420910519997724	0.4089954859756442	0.5627917275578477	0.530495094379798	0.27111266814346213	0.37253981772829314	0.43833422153707724
Feb10-r5-a_SPA	0.4107907482442366	0.43194951022731015	0.43315406676978285	0.3981990131307389	0.0	0.4126630195536535	0.3850601503203901	0.4400677787420873	0.4737016624167819	0.46280175053812267	0.3676682331809972	0.32440034368087844	0.47614486941703704	0.36803281519798986	0.5147019661345082	0.4145785126721184	0.4597963372866379	0.5065685663641376	0.36215023977381183	0.4104713635288406	0.4720060559264008	0.479808971780765	0.5077429772936072	0.46127453482948455	0.41757847366181333	0.3647821381120052	0.48609518249773576	0.443353131027195	0.4021432461377264	0.41884233078442346	0.5619809218811224	0.4548397422166613	0.4622443035313592	0.4838258369484	0.48784195908202393	0.4430775552899137	0.48816000033217205	0.5368998620857912	0.38597790776660035	0.5350313825607204	0.5153432874762011	0.5922599530266721	0.6181482984451782	0.5140334515100217	0.5083935433571795	0.5060729451190674	0.5507070805632063	0.522225844766383	0.5900844360661588	0.5801858919652174	0.5815074410687459	0.6196365940991757	0.5746358955629481	0.6068703545925471	0.42906174600824537	0.6443963171442636	0.5807249748991828	0.5368249922514716	0.528434420238066	0.40249422996842454	0.5522219770020521	0.48738277001036845	0.39278949863624235	0.5407706141369847	0.5285569491451729	0.4112718379577376	0.33808737142313006	0.4208693213144526
Feb10-r6-a_SPA	0.3885836880689745	0.3855694828292703	0.3585580053903959	0.33460838026235284	0.4126630195536535	0.0	0.41965544036448027	0.35225442175041877	0.43660190412997035	0.4384641641785406	0.24754135161583812	0.3110417325383269	0.4136796784109556	0.33393921857484127	0.48354908710274963	0.28353227691357763	0.4435252489033785	0.4666071944025119	0.314846081260858	0.324092342034114	0.46702604803749453	0.4121688752150248	0.4618857267470911	0.45082819132602725	0.4038342088665728	0.227189183180559	0.4445531858584655	0.4042233113630812	0.2928373824834006	0.35342409528179614	0.5184290471221813	0.45541474335547755	0.38895437674837297	0.41870226409542066	0.3256834374876324	0.26480849570711223	0.4575186297710044	0.5302125396892716	0.2994414110062127	0.5041203954000123	0.4607510493680966	0.5885082219341526	0.6373571228769175	0.39695513204642763	0.4954960251455103	0.5010194086865458	0.5195865642156972	0.4894889318588967	0.5313371043406436	0.5305744649219858	0.5766284998467722	0.6130191127985436	0.5617583949567295	0.581630092686651	0.42187815174058646	0.6313827424271922	0.5253967289881758	0.5191315602237081	0.5381312854249716	0.4386563975720475	0.5619850113175106	0.45985096080427823	0.34522747389022407	0.57530072270027	0.5284156667334569	0.3066950287578818	0.37227040789363813	0.4068179667932419
Feb10-r7-a_SPA	0.3553273211234974	0.4290966707861665	0.42777094248963027	0.40104121054171205	0.3850601503203901	0.41965544036448027	0.0	0.3646986002098305	0.4342734338079388	0.4066478892541265	0.39724923448924154	0.43293677100722416	0.5094614370250953	0.37579623751724417	0.4554225665137531	0.41683226979145444	0.5083010506103401	0.4775736882168134	0.3814276543808004	0.3953440961468788	0.42886324294447764	0.42960273658716136	0.42918183749938105	0.4407977038691986	0.49456128278925404	0.34707516496772023	0.3249034767940948	0.4216229230260134	0.35657186532108676	0.4116900986145889	0.5621143878714907	0.48017819787124705	0.39678097266378687	0.4611438483787268	0.4687472603284771	0.38957590328980424	0.4104023968271947	0.5293689536676325	0.3692454229458329	0.5002309171381115	0.382313138495568	0.5492964986795504	0.5502569355831477	0.4592572395377827	0.45391437556537984	0.4755175467610652	0.4712651465964068	0.4231985265308704	0.5462108949746997	0.5814189596173749	0.6046099608748097	0.6165151941372427	0.5120182974883285	0.6221176631552594	0.38906965298565416	0.6403992184462963	0.5743391874529362	0.5573567877904411	0.4717359683672087	0.32376578628855934	0.5920209629808758	0.4487952396705451	0.3882442542759227	0.5933334380548648	0.5317068553200087	0.40952754887971543	0.4538517326310022	0.34589198495714296
Feb7-1_SPA	0.4246978500344962	0.4887352668697669	0.4142739110501744	0.4321398592153354	0.4400677787420873	0.35225442175041877	0.3646986002098305	0.0	0.4054035568052029	0.38772015577075764	0.34946729089818945	0.3845841002749821	0.4201845500639707	0.380702041742472	0.48977530148330484	0.40567588033995955	0.49829830256857566	0.4117250120185045	0.3797951673685805	0.438956565901585	0.4515600188932937	0.3613100077355104	0.37302526748587	0.5320886725041859	0.49553603872718915	0.2485278196193286	0.3605216135060682	0.40854557475742104	0.3531881399274662	0.32324426989806565	0.5850663711559962	0.4565374683685524	0.3606784309383601	0.48335816182430047	0.4146087592253128	0.2939449181045411	0.410926232959642	0.5055360972805676	0.38560777367687415	0.48177241673946836	0.42769068079028916	0.5631901403717164	0.5707436934424407	0.4713736599786394	0.4664950089654249	0.5190768317165289	0.5264585191255587	0.44300563204764437	0.5715682064058774	0.5888350655990301	0.6070889474412793	0.6068542863227127	0.570374616762518	0.5883694300482466	0.4344655241049945	0.6243987482909533	0.5513871146682445	0.5416704764705783	0.5021534383596927	0.4169978418943096	0.6001780758756656	0.405033538808437	0.39436598509907195	0.6135391857919952	0.5219921157886611	0.41574341983689445	0.4260176895619377	0.3328664278810466
Feb7-12_SPA	0.46698490625642913	0.3154957065604737	0.37153791526014707	0.4176349787018045	0.4737016624167819	0.43660190412997035	0.4342734338079388	0.4054035568052029	0.0	0.21109690682745716	0.33332772331674765	0.41905240373654934	0.49442888805274804	0.3032389046099285	0.3222592396915619	0.2938453786228194	0.39234266952964386	0.21298879812319366	0.26371602601750677	0.2847458273525097	0.23586613698286266	0.244162707419231	0.2428453658550485	0.47918547650674326	0.5296673828616442	0.4227179409243053	0.3858437438388486	0.34789622430190664	0.3651040435798406	0.26434857618021246	0.5404747415917577	0.44874555794634846	0.2874913299350117	0.4211635325044037	0.34744844576246975	0.4437632325207415	0.254889938653992	0.4739187305696803	0.4548478753781289	0.3266945423121553	0.495645069630021	0.5365371656441263	0.5372558556141774	0.47761752931683854	0.3746099585413105	0.507589842410205	0.5164963701904303	0.45490544859182824	0.6257507220506331	0.5776921457580125	0.5640796980224128	0.5535083660673056	0.5569443153117185	0.5610417222146337	0.3590336217138954	0.5527389123906182	0.555878030613504	0.5392140241695617	0.39327245020149215	0.42418874124256833	0.6230314886102821	0.23747086481199464	0.3319272006546777	0.6235941383832382	0.550565966994148	0.43330369698740107	0.47817032415350796	0.29945573947793996
Feb7-15_SPA	0.44037701513771405	0.34618886645126834	0.3758580025603891	0.38144014535204374	0.46280175053812267	0.4384641641785406	0.4066478892541265	0.38772015577075764	0.21109690682745716	0.0	0.3731974694390315	0.4527371033661134	0.5006145161481266	0.3466616098645532	0.33620872415150443	0.34370152064286535	0.42851077363217854	0.2633398075923192	0.2619845228023019	0.27771720185707494	0.25457153406408645	0.24071858277600128	0.29304702919108755	0.48722473992593796	0.5218025459304176	0.40433390351792936	0.38577078597695474	0.3829028843365083	0.3800357684525614	0.2890370525315942	0.5463766187784524	0.44620444031355583	0.3548711091902236	0.4157613193799944	0.36752703282137944	0.4204818330370236	0.2735815793623565	0.4994927809698408	0.4271420197414112	0.36692633238337613	0.4755484795765552	0.5446158589388189	0.5457208175677618	0.4779960500732075	0.411930341978016	0.4975469627623861	0.49549711691535303	0.45715826683092614	0.6037104036566932	0.5761800500204735	0.5669501404400119	0.522085158825094	0.5519382662477138	0.545427315274441	0.36818288539312927	0.5564985513119233	0.5630239146424875	0.5518490727476382	0.41800540815202175	0.38834506291069637	0.6219582759088405	0.2626661079495875	0.3756595305474009	0.624880439763317	0.5366168395821994	0.44130376695310575	0.45807963728874607	0.2901122728462491
Feb7-20_SPA	0.31744389380662585	0.31844571694634666	0.26456072378480006	0.2657110876991662	0.3676682331809972	0.24754135161583812	0.39724923448924154	0.34946729089818945	0.33332772331674765	0.3731974694390315	0.0	0.25884952479954954	0.4038524051935262	0.21950166800681423	0.39468766268411576	0.24218144293222954	0.37043966476907075	0.3362670520476586	0.18244636625739358	0.2932997901749157	0.38243756453202915	0.34221628863086334	0.4247296587018154	0.4400515059303748	0.4458998565867849	0.25262274339331514	0.44760211662539173	0.38645831612868015	0.25152919730047973	0.2719685317221149	0.4467672361718031	0.4891770738487976	0.3289513315153172	0.40192751419028505	0.3963080669975318	0.36193211953498994	0.32504117241110975	0.486324554062405	0.33220991740989947	0.4357012798969664	0.39865690488637373	0.5691104142986497	0.5822519335863778	0.43145107831642204	0.48031165027613737	0.49081933636166086	0.5033986455477955	0.4665794950430133	0.4924915310069548	0.48410228263949723	0.5083774933487306	0.5802134258415578	0.5426066518035835	0.5411881159481742	0.3104280354934895	0.5852349868265638	0.49277261501401776	0.4454871944358058	0.4611216852680427	0.33300556383879537	0.5396235416130291	0.3926699384177402	0.297243518201666	0.5458685589900985	0.5221813815728813	0.28797647837444207	0.3489440090264496	0.34639561403379643
Feb7-3_SPA	0.4227517340254778	0.4390703501721539	0.36100796046861844	0.3764679384358662	0.32440034368087844	0.3110417325383269	0.43293677100722416	0.3845841002749821	0.41905240373654934	0.4527371033661134	0.25884952479954954	0.0	0.4140321600433019	0.3199282834941554	0.5037549620551491	0.316312498288178	0.4268241276849611	0.4589972336702783	0.34528476841140227	0.41125412442507847	0.4615587302633487	0.40982024088275887	0.4620540610130756	0.4739066826506039	0.4503591281141257	0.29861680580906974	0.4820569730298277	0.45070958049482684	0.3228118945185815	0.3695189017326079	0.5335085562362119	0.5114769838225087	0.3836606454498911	0.47388915294032047	0.41676314977600876	0.375522989484916	0.4460710562568096	0.5149244818735575	0.35198646977136955	0.48736332095359297	0.49996956023398165	0.5828596878940536	0.6190544154176685	0.49192068154014806	0.4695780615072803	0.5655285374468545	0.5568927374274678	0.47974315501043985	0.5477993373396406	0.5740665475941515	0.569676513000963	0.6239902613576364	0.5610845906744555	0.5954659297676281	0.36440289733112813	0.6329228058271512	0.5414673942303789	0.5246505389994435	0.505241462995029	0.41217140198797125	0.5873228926169476	0.4509469594803649	0.3728726965025116	0.5914916585748993	0.575094221539792	0.3747146767281852	0.42204749312403406	0.3974692899857632
Feb7-6_SPA	0.47888182949212293	0.4809364804438062	0.4546992658219581	0.4726470249004529	0.47614486941703704	0.4136796784109556	0.5094614370250953	0.4201845500639707	0.49442888805274804	0.5006145161481266	0.4038524051935262	0.4140321600433019	0.0	0.4083366462590786	0.4745579261364748	0.465803461564974	0.5274228993740188	0.48640084495139	0.45129245392557865	0.46637606434172507	0.47494280684554296	0.4341162764117426	0.45256932831001057	0.5563223196264473	0.5276806584427486	0.4433583531630301	0.4879680143901789	0.4461927165506378	0.43512871822707927	0.4218808717701121	0.5739786992136532	0.5208399608844793	0.4939107055055254	0.5867803433251341	0.4487553369764196	0.4544905985583864	0.49372295579124537	0.5551358102614962	0.4534074010913796	0.4979044722724318	0.5397555295782821	0.5944234169321337	0.5854620716374215	0.5330579526339785	0.4882237639469952	0.5444489697869502	0.5808432795627829	0.46218729116872614	0.5629561163592843	0.6231852458741903	0.6233585548561191	0.6363599236842618	0.6289895017381143	0.6218597880917622	0.43496664897152876	0.6460382742442996	0.6057717165898245	0.5863700679295701	0.5093393300878899	0.5150875286377201	0.5720572764938007	0.48082981561234306	0.45272169803974965	0.6309624760706759	0.6321380815722356	0.4643320268183003	0.46442031513923077	0.438928131781292
Feb7-9_SPA	0.34614412399725997	0.3335872918723953	0.2770383714088745	0.30986904376010965	0.36803281519798986	0.33393921857484127	0.37579623751724417	0.380702041742472	0.3032389046099285	0.3466616098645532	0.21950166800681423	0.3199282834941554	0.4083366462590786	0.0	0.4018068542611351	0.3356998160410187	0.3750007715268976	0.37212389019706993	0.20042542956211848	0.2844795552475537	0.39600092955088695	0.3626063997863985	0.3713446980298652	0.4760792983297227	0.4613189266760809	0.331177780373215	0.42780305597161583	0.3975236907293067	0.3340246419906904	0.3115970068464488	0.5038245572059591	0.4986378169351361	0.4193202677794586	0.4121416342721705	0.4475405767830436	0.4019540221568349	0.3612725287092382	0.4941746213181325	0.36934414333644755	0.42885020082966413	0.46947996503731004	0.5829584117332072	0.5873410638054057	0.464980793565067	0.4440407827061132	0.46585995086974386	0.4806742490831163	0.4936371967075815	0.5456617095545248	0.4993600483804484	0.5137127415168978	0.5814054279945452	0.5298305006827291	0.5683824681891858	0.3237807408543214	0.6019608629377519	0.5484870930671515	0.47910451850830876	0.4426945255596235	0.39554767874238117	0.562066568808875	0.3600765321321478	0.3701884959351875	0.5735032655134986	0.489616492924121	0.3733665824566773	0.40257352823475145	0.365084249537049
Feb8-12_SPA	0.3613800714018742	0.3672151866347899	0.3486924317264921	0.3882766487029985	0.5147019661345082	0.48354908710274963	0.4554225665137531	0.48977530148330484	0.3222592396915619	0.33620872415150443	0.39468766268411576	0.5037549620551491	0.4745579261364748	0.4018068542611351	0.0	0.44247236738699924	0.4535009623955086	0.2588944787965902	0.34220102843741035	0.364655180089007	0.3350288226608639	0.3044928569621711	0.37205651242257326	0.4721107092876232	0.5232181006961699	0.48824483024422694	0.3555302377452868	0.3879366141339136	0.3827844775046167	0.3758737795455777	0.522425046113554	0.5110340950649829	0.4490805329789957	0.48311253451303837	0.43974595849836823	0.5352262709270484	0.21645022982441373	0.3802044564595216	0.4411930162364143	0.4167001218142257	0.46598411439481885	0.586136497444245	0.5926998990166925	0.5445705753160154	0.4511866074699182	0.5516759323819135	0.5686073061179612	0.5734903227401191	0.578405324831425	0.5362786163290854	0.6136650469028727	0.5830287201726526	0.6098803777835295	0.5627506538101186	0.43108216180766046	0.5674186745421581	0.6116322370946561	0.5937703294750696	0.46463306868869414	0.49132365352920876	0.6495219427970838	0.3111556915894947	0.4267552253378727	0.6418925096158496	0.6116877591508558	0.4333805710585301	0.5229932379426375	0.35838720637929766
Feb8-15_SPA	0.4442838420460914	0.28896759949323775	0.3677729907507063	0.365072699995976	0.4145785126721184	0.28353227691357763	0.41683226979145444	0.40567588033995955	0.2938453786228194	0.34370152064286535	0.24218144293222954	0.316312498288178	0.465803461564974	0.3356998160410187	0.44247236738699924	0.0	0.42309057553394885	0.34375305904057557	0.2933240191355184	0.2284522525455411	0.38823936851393054	0.33022480077967786	0.39199124536110597	0.4104258065407186	0.4237173831410608	0.30621782622004096	0.4103813858309618	0.3684000172805168	0.2931475310809487	0.31388807339013297	0.5060159522717812	0.41260103572296397	0.3192211094445374	0.42167614574109796	0.26441389506216334	0.31232451379041215	0.347993224526017	0.5341599688858111	0.2926758145583953	0.4626017567896773	0.4445478539885018	0.5662799057513251	0.5921766957010762	0.37707636659645954	0.4516637419360261	0.5061735991509375	0.4949246691552963	0.43996328266743745	0.5711352490697629	0.5617904360489625	0.5755766343514348	0.6010964668216006	0.5347627172591667	0.59971121532949	0.3503453988776126	0.614373516860704	0.5105107144802054	0.5077934843114706	0.4890091231626305	0.38894936122997065	0.5778510399819172	0.37475087120184913	0.2587184231781546	0.585246816924195	0.5450128782528598	0.3397089504417786	0.3856994868149644	0.319111060065618
